지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
101,춘천,2010,11,-21.3,20100114,33.9,20100820,6.2,16.5,1016.3,1581.4,195,20100910,70,1844.3,41.4,4772.27,1,340,920.4,557.1
101,춘천,2011,10.7,-22.5,20110116,34.2,20110620,5.7,16.5,1016.9,2029.3,262.5,20110727,69.4,1971.1,44.25,4864.51,1.1,360,997.8,558.3
101,춘천,2012,10.7,-23.1,20120202,36.8,20120805,5.5,16.5,1016.2,1324.3,92,20120815,68.7,2082.2,46.64,5162.29,1.3,360,1220.7,671.3
101,춘천,2013,11.1,-23.1,20130103,33.6,20130812,6.2,16.7,1016.1,1738.9,140,20130715,72.8,2103.5,47.22,4911.82,1.3,360,1115.4,604.6
101,춘천,2014,12.1,-20.1,20141218,35.1,20140720,7,18,1016.8,674.4,95.8,20140821,70.5,2301.5,51.66,4680.81,1.4,360,1161.3,606.4
101,춘천,2015,12.5,-15.7,20150209,35.9,20150807,7.3,18.4,1016.7,757.8,58.6,20150725,69.8,2404.6,53.99,4773.3,1.4,360,1117.4,650
101,춘천,2016,12.4,-20.1,20160124,35.7,20160812,7.4,18.2,1016.7,1333.8,241.6,20160705,70.8,2321.5,52.01,4713.56,1.3,360,1099.4,695.8
101,춘천,2017,11.7,-17.6,20171212,36.3,20170805,6.4,17.6,1016.7,1217.2,124.3,20170710,70.3,2387.3,53.6,4971.68,1.4,360,1255.9,877.5
101,춘천,2018,11.6,-21.6,20180126,39.5,20180801,6.4,17.6,1017.2,1401.5,170.7,20180829,69.2,2480.3,55.68,5056.5,1.5,360,1292.9,904.5
101,춘천,2019,12.3,-14.1,20190109,36.3,20190805,7.1,18.3,1016.6,923.2,72,20190726,68.3,2348.8,52.73,4627.92,1.3,340,1213,849
101,춘천,2020,12.2,-17.2,20201216,36.4,20200622,7.1,18,1016.6,1550.9,178.7,20200803,68.5,2284.5,51.18,4967.08,1.4,340,1262,882.9
101,춘천,2021,12.4,-21.9,20210108,36.6,20210724,7.3,18.4,1016.7,1045.9,69.7,20210301,69.6,2303.4,51.71,5060.94,1.4,340,1279.1,896.6
